coh_year,entrants,actual_y2,predicted_y2_count,forecasted_y2_expected,actual_y2_rate,forecasted_y2_rate,period
2010,371.0,285.0,188.0,219.73214545673184,0.7681940700808625,0.5922699338456384,historical
2011,447.0,336.0,230.0,257.90678147647736,0.7516778523489933,0.5769726654954751,historical
2012,479.0,362.0,256.0,285.4896110180911,0.755741127348643,0.5960117140252424,historical
2013,404.0,291.0,195.0,233.14731612755605,0.7202970297029703,0.577097317147416,historical
2014,423.0,323.0,210.0,246.41504804815975,0.7635933806146572,0.5825414847474226,historical
2015,408.0,328.0,230.0,253.05953464481584,0.803921568627451,0.6202439574627839,historical
2016,468.0,355.0,252.0,274.77532694023745,0.7585470085470085,0.5871267669663194,historical
2017,429.0,340.0,253.0,265.0836721947314,0.7925407925407926,0.6179106577965766,historical
2018,476.0,384.0,274.0,300.9578358166701,0.8067226890756303,0.632264360959391,historical
2019,576.0,454.0,338.0,344.8363377066268,0.7881944444444444,0.5986741974073382,historical
2020,439.0,313.0,170.0,216.33236367957548,0.7129840546697038,0.4927844275161173,historical
2021,438.0,297.0,125.0,178.75865468058745,0.678082191780822,0.40812478237577043,historical
2022,306.0,184.0,127.0,157.43845907297066,0.6013071895424836,0.5145047682123224,historical
2023,343.0,148.0,28.0,55.010183268383514,0.4314868804664723,0.1603795430565117,historical
2024,180.0,,0.0,5.866770295073553,,0.03259316830596418,forecast
2025,362.3333333333333,,130.80343164352058,130.80343164352058,,0.3610030312148682,forecast
2026,362.3333333333333,,130.80343164352058,130.80343164352058,,0.3610030312148682,forecast
